,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
200,-131088,1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,10/3/1986,86,4.9,David Carradine,489,T.L. Lankford,1986,-8.739200000000002,1986-10-03
220,14857814,16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,10/9/1987,98,8.1,Cary Elwes,320953,William Goldman,1987,92.8613375,1987-10-09
221,13564027,1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,9/18/1987,94,7.0,Andrew Robinson,83209,Clive Barker,1987,1356.4026999999999,1987-09-18
222,16357676,30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,7/10/1987,116,8.3,Matthew Modine,537826,Gustav Hasford,1987,54.52558666666667,1987-07-10
223,57952836,6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,8/21/1987,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987,965.8806000000001,1987-08-21
225,44735548,15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,6/12/1987,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,298.23698666666667,1987-06-12
226,11122105,27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,11/13/1987,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987,41.192981481481475,1987-11-13
227,15419483,22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,6/24/1987,96,7.1,Mel Brooks,146748,Mel Brooks,1987,67.92723788546256,1987-06-24
228,40424681,13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,7/17/1987,102,7.5,Peter Weller,196245,Edward Neumeier,1987,310.95908461538465,1987-07-17
229,50207127,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,3/6/1987,110,7.6,Mel Gibson,204328,Shane Black,1987,334.71418,1987-03-06
230,51270454,25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,6/3/1987,119,7.9,Kevin Costner,234254,Oscar Fraley,1987,205.081816,1987-06-03
231,2323044,3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,3/13/1987,84,7.8,Bruce Campbell,123325,Sam Raimi,1987,64.529,1987-03-13
232,-4663630,22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,8/7/1987,106,5.4,Dolph Lundgren,30370,David Odell,1987,-21.198318181818177,1987-08-07
233,-8230010,12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,8/14/1987,82,7.2,Andre Gower,21420,Shane Black,1987,-68.58341666666668,1987-08-14
234,142645693,14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,9/18/1987,119,6.9,Michael Douglas,60383,James Dearden,1987,1018.8978071428572,1987-09-18
235,21185897,30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,7/31/1987,130,6.7,Timothy Dalton,74272,Richard Maibaum,1987,70.61965666666667,1987-07-31
236,28848100,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,12/11/1987,126,7.4,Charlie Sheen,126195,Stanley Weiser,1987,192.32066666666668,1987-12-11
237,-12761304,35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,12/25/1987,153,7.8,Christian Bale,96566,Tom Stoppard,1987,-36.46086857142857,1987-12-25
239,41766510,22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,6/12/1987,118,6.5,Jack Nicholson,51642,John Updike,1987,189.8477727272727,1987-06-12
241,40293222,4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,2/27/1987,96,6.6,Heather Langenkamp,55414,Wes Craven,1987,895.4049333333334,1987-02-27
244,-2236987,23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,7/17/1987,89,2.9,Lorraine Gary,33419,Peter Benchley,1987,-9.726030434782606,1987-07-17
245,-8942420,25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,2/13/1987,93,5.7,Sylvester Stallone,40916,Gary Conway,1987,-35.76968,1987-02-13
246,19530280,30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,11/25/1987,93,7.6,Steve Martin,98897,John Hughes,1987,65.10093333333333,1987-11-25
247,16847564,6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,4/17/1987,94,7.4,Nicolas Cage,107669,Ethan Coen,1987,280.79273333333333,1987-04-17
248,185632,17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,3/6/1987,113,7.3,Mickey Rourke,67453,William Hjortsberg,1987,1.0919529411764772,1987-03-06
250,36721196,6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,2/13/1987,90,5.8,Andrew McCarthy,24626,Edward Rugoff,1987,612.0199333333334,1987-02-13
252,-1106190,27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,7/1/1987,120,6.8,Dennis Quaid,45172,Chip Proser,1987,-4.096999999999995,1987-07-01
253,65640528,15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,1/15/1988,102,7.1,Cher,38600,John Patrick Shanley,1987,437.60351999999995,1988-01-15
