,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,star,writer,year,ROI_pct,release_dt
2064,-9382401,45000000,Columbia Pictures Corporation,USA,Frank Oz,Drama,35617599,The Indian in the Cupboard,PG,7/14/1995,96,Hal Scardino,Lynne Reid Banks,1995,-20.849780000000003,1995-07-14
2065,59569971,23000000,Hollywood Pictures,USA,Stephen Herek,Drama,82569971,Mr. Holland's Opus,PG,1/19/1996,143,Richard Dreyfuss,Patrick Sheane Duncan,1995,258.9998739130435,1996-01-19
2066,-39600000,50000000,Allied Stars Ltd.,USA,Roland Joff�,Drama,10400000,The Scarlet Letter,R,10/13/1995,135,Demi Moore,Nathaniel Hawthorne,1995,-79.2,1995-10-13
2067,-248264,20000000,Eddie Murphy Productions,USA,Wes Craven,Comedy,19751736,Vampire in Brooklyn,R,10/27/1995,100,Eddie Murphy,Eddie Murphy,1995,-1.24132,1995-10-27
2069,-1593283,15000000,Tapestry Films,USA,Michael Gottlieb,Adventure,13406717,A Kid in King Arthur's Court,PG,8/11/1995,89,Thomas Ian Nicholas,Michael Part,1995,-10.621886666666667,1995-08-11
2070,8115878,8000000,First Look International,USA,Gregory Widen,Action,16115878,The Prophecy,R,9/1/1995,98,Christopher Walken,Gregory Widen,1995,101.448475,1995-09-01
2071,46594000,30000000,Sandollar Productions,USA,Charles Shyer,Comedy,76594000,Father of the Bride Part II,PG,12/8/1995,106,Steve Martin,Albert Hackett,1995,155.31333333333333,1995-12-08
2073,3971000,800000,Suburban Pictures,USA,Todd Solondz,Comedy,4771000,Welcome to the Dollhouse,R,5/24/1996,88,Heather Matarazzo,Todd Solondz,1995,496.375,1996-05-24
2074,-27832192,30000000,United Artists,USA,Walter Hill,Action,2167808,Wild Bill,R,12/1/1995,98,Jeff Bridges,Peter Dexter,1995,-92.77397333333333,1995-12-01
2075,-14218115,20000000,Triumph Films,Canada,Christian Duguay,Sci-Fi,5781885,Asesinos cibern�ticos,R,1/26/1996,108,Peter Weller,Philip K. Dick,1995,-71.090575,1996-01-26
2076,3185976,6500000,Beacon Communications,USA,Melanie Mayron,Comedy,9685976,The Baby-Sitters Club,PG,8/18/1995,94,Schuyler Fisk,Ann M. Martin,1995,49.01501538461538,1995-08-18
2077,-7660111,8000000,FIT Productions,UK,Agnieszka Holland,Biography,339889,Total Eclipse,R,11/3/1995,111,Leonardo DiCaprio,Christopher Hampton,1995,-95.75138749999999,1995-11-03
2078,-5952000,30000000,Paramount Pictures,USA,Brett Leonard,Action,24048000,Virtuosity,R,8/4/1995,106,Denzel Washington,Eric Bernt,1995,-19.84,1995-08-04
2079,-36439040,50000000,Cinergi Pictures Entertainment,USA,Oliver Stone,Biography,13560960,Nixon,R,1/5/1996,192,Anthony Hopkins,Stephen J. Rivele,1995,-72.87808,1996-01-05
2080,-40204983,50000000,Paramount Pictures,USA,William Friedkin,Crime,9795017,Jade,R,10/13/1995,95,David Caruso,Joe Eszterhas,1995,-80.409966,1995-10-13
2081,5725500,12000000,Caravan Pictures,USA,Holly Goldberg Sloan,Comedy,17725500,The Big Green,PG,9/29/1995,100,Steve Guttenberg,Holly Goldberg Sloan,1995,47.712500000000006,1995-09-29
2082,1293081,12000000,Seraphim Films,USA,Clive Barker,Horror,13293081,Lord of Illusions,R,8/25/1995,109,Scott Bakula,Clive Barker,1995,10.775675,1995-08-25
2083,24892047,7500000,Golden Harvest Company,Hong Kong,Stanley Tong,Action,32392047,Rumble in the Bronx,R,2/23/1996,104,Jackie Chan,Edward Tang,1995,331.89396,1996-02-23
2084,-487755,1000000,American Playhouse Theatrical Films,UK,Todd Haynes,Drama,512245,Safe,R,6/30/1995,119,Julianne Moore,Todd Haynes,1995,-48.7755,1995-06-30
2086,13574130,10000000,Universal Pictures,USA,Jocelyn Moorhouse,Comedy,23574130,How to Make an American Quilt,PG-13,10/6/1995,117,Winona Ryder,Whitney Otto,1995,135.7413,1995-10-06
2088,-8887049,11000000,Castle Rock Entertainment,USA,Oliver Parker,Drama,2112951,Othello,R,1/19/1996,123,Laurence Fishburne,Oliver Parker,1995,-80.79135454545454,1996-01-19
2090,51052156,16000000,Twentieth Century Fox Film Corporation,USA,Forest Whitaker,Comedy,67052156,Waiting to Exhale,R,12/22/1995,124,Whitney Houston,Terry McMillan,1995,319.07597499999997,1995-12-22
2094,-14649829,35000000,Universal Pictures,USA,Peter Hyams,Action,20350171,Sudden Death,R,12/22/1995,111,Jean-Claude Van Damme,Karen Elise Baldwin,1995,-41.856654285714285,1995-12-22
2096,-11959397,25000000,Universal Pictures,USA,Spike Lee,Crime,13040603,Clockers,R,9/13/1995,128,Harvey Keitel,Richard Price,1995,-47.837588,1995-09-13
2101,-6470234,7000000,Miramax,USA,Gary Fleder,Crime,529766,Things to Do in Denver When You're Dead,R,12/1/1995,115,Andy Garcia,Scott Rosenberg,1995,-92.43191428571429,1995-12-01
2102,-10821896,11000000,Dog Eat Dog Films,USA,Michael Moore,Comedy,178104,Canadian Bacon,PG,9/22/1995,91,John Candy,Michael Moore,1995,-98.38087272727273,1995-09-22
2103,5579373,5500000,American Playhouse,USA,Gregory Nava,Drama,11079373,My Family,R,5/3/1995,128,Jimmy Smits,Gregory Nava,1995,101.44314545454544,1995-05-03
2106,648752,500000,JDI Productions,USA,Tom DiCillo,Comedy,1148752,Living in Oblivion,R,7/21/1995,90,Steve Buscemi,Tom DiCillo,1995,129.7504,1995-07-21
2107,1349430,7000000,Miramax,Germany,Wayne Wang,Comedy,8349430,Smoke,R,6/9/1995,112,Harvey Keitel,Paul Auster,1995,19.277571428571427,1995-06-09
2108,-10969904,27000000,TriStar Pictures,USA,Carl Franklin,Crime,16030096,Devil in a Blue Dress,R,9/29/1995,102,Denzel Washington,Walter Mosley,1995,-40.629274074074075,1995-09-29
2109,-8167090,9000000,Miramax,USA,Sean Penn,Drama,832910,The Crossing Guard,R,11/16/1995,111,Jack Nicholson,Sean Penn,1995,-90.74544444444444,1995-11-16
2111,-32675768,68000000,Columbia Pictures,USA,Joseph Ruben,Action,35324232,Money Train,R,11/22/1995,110,Wesley Snipes,Doug Richardson,1995,-48.0526,1995-11-22
2113,-24830637,33000000,Paramount Pictures,USA,John Badham,Action,8169363,Nick of Time,R,11/22/1995,90,Johnny Depp,Patrick Sheane Duncan,1995,-75.24435454545456,1995-11-22
2114,-2481780,20000000,Paramount Pictures,USA,Jodie Foster,Comedy,17518220,Home for the Holidays,PG-13,11/3/1995,103,Holly Hunter,Chris Radant,1995,-12.408900000000001,1995-11-03
2115,-25057578,40000000,Twentieth Century Fox Film Corporation,USA,Barbet Schroeder,Action,14942422,Kiss of Death,R,4/21/1995,101,David Caruso,Eleazar Lipsky,1995,-62.643945,1995-04-21
2117,5797927,6000000,40 Acres & A Mule Filmworks,USA,Rusty Cundieff,Crime,11797927,Tales from the Hood,R,5/24/1995,98,Clarence Williams III,Rusty Cundieff,1995,96.63211666666666,1995-05-24
2118,-9396234,17000000,Paramount Pictures,USA,Stephen Gyllenhaal,Drama,7603766,Losing Isaiah,R,3/17/1995,111,Jessica Lange,Seth Margolis,1995,-55.27196470588235,1995-03-17
2119,2450000,21000000,Alcor Films,USA,Herbert Ross,Comedy,23450000,Boys on the Side,R,2/3/1995,115,Whoopi Goldberg,Don Roos,1995,11.666666666666666,1995-02-03
2120,-23752373,32000000,Caravan Pictures,USA,Jeremiah S. Chechik,Adventure,8247627,Tall Tale,PG,3/24/1995,98,Patrick Swayze,Steve Bloom,1995,-74.226165625,1995-03-24
2121,-8985660,15000000,Savoy Pictures,USA,Preston A. Whitmore II,Drama,6014340,The Walking Dead,R,2/24/1995,88,Allen Payne,Preston A. Whitmore II,1995,-59.9044,1995-02-24
2123,10221600,25000,Brothers McMullen Productions,USA,Edward Burns,Comedy,10246600,The Brothers McMullen,R,8/9/1995,98,Jack Mulcahy,Edward Burns,1995,40886.399999999994,1995-08-09
2125,-38465523,50000000,Warner Bros.,USA,Andrew Sipes,Action,11534477,Fair Game,R,11/3/1995,91,William Baldwin,Paula Gosling,1995,-76.93104600000001,1995-11-03
2133,1727544,250000,Fine Line Features,USA,Maria Maggenti,Comedy,1977544,The Incredibly True Adventure of Two Girls in Love,R,6/16/1995,94,Laurel Holloman,Maria Maggenti,1995,691.0176,1995-06-16
2134,-3239485,7000000,A Band Apart,France,Desmond Nakano,Drama,3760515,White Man's Burden,R,12/1/1995,89,John Travolta,Desmond Nakano,1995,-46.27835714285714,1995-12-01
2136,-11012351,15000000,Metro-Goldwyn-Mayer (MGM),USA,Carlo Carlei,Drama,3987649,Fluke,PG,6/2/1995,96,Matthew Modine,James Herbert,1995,-73.41567333333333,1995-06-02
2138,-14900000,19000000,Avenue Pictures,USA,Michael Hoffman,Biography,4100000,Restoration,R,2/2/1996,117,Robert Downey Jr.,Rose Tremain,1995,-78.42105263157895,1996-02-02
2143,-724001,2000000,Miramax,USA,Paul Auster,Comedy,1275999,Blue in the Face,R,10/13/1995,83,Harvey Keitel,Paul Auster,1995,-36.20005,1995-10-13
2144,-3392348,10000000,Universal Pictures,USA,J.F. Lawton,Action,6607652,The Hunted,R,2/24/1995,100,Christopher Lambert,J.F. Lawton,1995,-33.92348,1995-02-24
2145,15825256,10500000,Hollywood Pictures,USA,Randall Miller,Comedy,26325256,Houseguest,PG,1/6/1995,113,Sinbad,Michael J. Di Gaetano,1995,150.7167238095238,1995-01-06
2147,-2798745,15000000,TriStar Pictures,USA,Brett Leonard,Fantasy,12201255,Hideaway,R,3/3/1995,106,Jeff Goldblum,Dean R. Koontz,1995,-18.6583,1995-03-03
2148,-24016088,28000000,Metro-Goldwyn-Mayer (MGM),Ireland,Don Bluth,Animation,3983912,La piedra y el ping�ino,G,4/12/1995,74,Martin Short,Rachel Koretsky,1995,-85.77174285714285,1995-04-12
2150,449998,6400000,TriStar Pictures,USA,Peter Hall,Crime,6849998,Never Talk to Strangers,R,10/20/1995,86,Rebecca De Mornay,Lewis A. Green,1995,7.03121875,1995-10-20
2154,-5236980,8000000,"Rank Organisation, The",UK,David Price,Comedy,2763020,Dr. Jekyll and Ms. Hyde,PG-13,8/25/1995,100,Sean Young,David Price,1995,-65.46225,1995-08-25
2156,-11526000,14000000,Touchstone Pictures,USA,James Ivory,Biography,2474000,Jefferson in Paris,PG-13,3/31/1995,139,Nick Nolte,Ruth Prawer Jhabvala,1995,-82.32857142857142,1995-03-31
2160,-1434492,5000000,40 Acres & A Mule Filmworks,USA,Nick Gomez,Crime,3565508,New Jersey Drive,R,4/19/1995,98,Shar-Ron Corley,Nick Gomez,1995,-28.68984,1995-04-19
2162,-3741805,4000000,British Broadcasting Corporation (BBC),UK,Mike Newell,Comedy,258195,An Awfully Big Adventure,R,7/21/1995,112,Hugh Grant,Beryl Bainbridge,1995,-93.545125,1995-07-21
2164,322370,150000,Party Productions,USA,Daisy von Scherler Mayer,Comedy,472370,Party Girl,R,6/9/1995,94,Parker Posey,Harry Birckmayer,1995,214.91333333333333,1995-06-09
2165,-17249890,23000000,Castle Rock Entertainment,UK,John Boorman,Action,5750110,Beyond Rangoon,R,8/25/1995,100,Patricia Arquette,Alex Lasker,1995,-74.99952173913044,1995-08-25
2169,-2705009,3000000,Republic Pictures (II),USA,Mark Jones,Comedy,294991,Rumpelstiltskin,R,11/24/1995,87,Max Grod�nchik,Mark Jones,1995,-90.16696666666667,1995-11-24
2170,-5963977,6500000,Populist Pictures,USA,Steven Soderbergh,Crime,536023,The Underneath,R,4/28/1995,99,Peter Gallagher,Don Tracy,1995,-91.75349230769231,1995-04-28
2177,-8167174,11000000,"Samuel Goldwyn Company, The",USA,Mira Nair,Comedy,2832826,The Perez Family,R,5/12/1995,100,Marisa Tomei,Christine Bell,1995,-74.24703636363637,1995-05-12
2178,-906293,6000000,Live Entertainment,USA,Aaron Norris,Action,5093707,Top Dog,PG-13,4/28/1995,86,Chuck Norris,Aaron Norris,1995,-15.104883333333333,1995-04-28
2181,-795570,2000000,Avrora Media,Russia,Anthony Waller,Horror,1204430,Mute Witness,R,9/15/1995,95,Marina Zudina,Anthony Waller,1995,-39.7785,1995-09-15
2184,-7506993,8000000,Charles Matthau-Jerry Tokofsky-John Davis Productions,USA,Charles Matthau,Drama,493007,The Grass Harp,PG,10/11/1996,107,Piper Laurie,Truman Capote,1995,-93.8374125,1996-10-11
2190,-9900000,22000000,Hollywood Pictures,USA,Peter Yates,Comedy,12100000,Roommates,PG,3/3/1995,108,Peter Falk,Max Apple,1995,-45.0,1995-03-03
2197,324047,150000,Ferdos Films,Iran,Jafar Panahi,Drama,474047,The White Balloon,UNRATED,11/27/1995,85,Aida Mohammadkhani,Abbas Kiarostami,1995,216.03133333333332,1995-11-27
2198,-9955243,10000000,Michael Ritchie Productions,USA,Michael Ritchie,Musical,44757,The Fantasticks,PG,1995,86,Joel Grey,Tom Jones,1995,-99.55243,1995-01-01
2200,149721524,92000000,Warner Bros.,USA,Jan de Bont,Action,241721524,Twister,PG-13,5/10/1996,113,Helen Hunt,Michael Crichton,1996,162.74078695652173,1996-05-10
2201,13001785,3500000,Channel Four Films,UK,Danny Boyle,Drama,16501785,Trainspotting,R,8/9/1996,94,Ewan McGregor,John Hodge,1996,371.47957142857143,1996-08-09
2202,17611975,7000000,PolyGram Filmed Entertainment,USA,Joel Coen,Crime,24611975,Fargo,R,4/5/1996,98,William H. Macy,Ethan Coen,1996,251.59964285714284,1996-04-05
2203,89046663,14000000,Dimension Films,USA,Wes Craven,Horror,103046663,Scream,R,12/20/1996,111,Neve Campbell,Kevin Williamson,1996,636.0475928571428,1996-12-20
2204,6753840,19000000,Dimension Films,USA,Robert Rodriguez,Action,25753840,From Dusk Till Dawn,R,1/19/1996,108,Harvey Keitel,Robert Kurtzman,1996,35.54652631578947,1996-01-19
2205,231169255,75000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,306169255,Independence Day,PG-13,7/3/1996,145,Will Smith,Dean Devlin,1996,308.2256733333333,1996-07-03
2206,31851345,14500000,Bazmark Films,USA,Baz Luhrmann,Drama,46351345,Romeo + Juliet,PG-13,11/1/1996,120,Leonardo DiCaprio,William Shakespeare,1996,219.66444827586207,1996-11-01
2207,-2915751,36000000,TriStar Pictures,USA,Danny DeVito,Comedy,33084249,Matilda,PG,8/2/1996,98,Danny DeVito,Roald Dahl,1996,-8.099308333333333,1996-08-02
2208,26624000,12000000,Universal Pictures,USA,Dennis Dugan,Comedy,38624000,Happy Gilmore,PG-13,2/16/1996,92,Adam Sandler,Tim Herlihy,1996,221.86666666666665,1996-02-16
2209,1109095,3000000,NDF International,USA,Mira Nair,Crime,4109095,Kama Sutra: A Tale of Love,R,2/28/1997,117,Naveen Andrews,Helena Kriel,1996,36.969833333333334,1997-02-28
2210,5100000,44000000,Astoria Films,USA,Barry Levinson,Crime,49100000,Sleepers,R,10/18/1996,147,Robert De Niro,Lorenzo Carcaterra,1996,11.59090909090909,1996-10-18
