,duration,budget,gross,year,month,roi_outlier_ind
531,107,750000,157937,2013,1,False
532,78,750000,15263,2014,9,False
533,75,750000,7095,2015,3,False
534,100,750000,184935,2017,7,False
535,93,750000,80847,2016,5,False
536,95,750000,43660,2017,4,False
537,92,765000,959056,2018,7,False
538,90,780000,1310470,2003,3,False
539,100,780000,434811,2017,1,False
540,95,790000,122408,2007,4,False
541,106,800000,3686,1989,10,False
542,97,800000,114516,1992,9,False
543,114,800000,1001437,1993,11,False
544,88,800000,4569019,1995,10,False
545,104,800000,145071,1999,3,False
546,103,800000,881950,2002,9,False
547,88,800000,2816116,2002,5,False
548,94,800000,62852,2003,1,False
549,83,800000,618264,2004,5,False
550,90,800000,11508,2003,11,False
551,128,800000,203144,2005,4,False
552,104,800000,36357,2005,1,False
553,98,800000,1186247,2005,4,False
554,87,800000,3547972,2008,6,False
555,142,800000,552007,2005,3,False
556,96,800000,2161,2008,11,False
557,106,800000,707988,2010,5,False
558,100,800000,1121893,2007,11,False
559,85,800000,156190,2010,11,False
560,92,800000,2166797,2009,1,False
561,100,800000,896919,2009,4,False
562,87,800000,162562,2011,10,False
563,78,800000,22129,2012,11,False
564,85,800000,202528,2013,5,False
565,88,800000,3861,2014,9,False
566,93,800000,36026,2014,9,False
567,88,800000,143658,2015,8,False
569,104,800000,15496,2019,1,False
570,90,800000,10844,2016,11,False
571,100,800000,49756,2018,8,False
572,90,800000,109227,2017,11,False
573,104,800000,11610,2018,2,False
574,95,825000,1305964,2002,12,False
575,83,850000,1753979,1993,5,False
576,107,850000,865028,2003,7,False
577,100,850000,476630,2004,9,False
578,88,850000,443591,2007,4,False
579,85,850000,1386088,2012,11,False
580,90,850000,12901,2012,7,False
581,129,850000,2035200,2017,2,False
582,109,857199,857199,2010,1,False
586,96,900000,381420,2005,3,False
587,86,900000,83354,2006,4,False
588,98,900000,23968,2007,4,False
589,95,900000,24036,2008,5,False
590,96,900000,1355079,2008,9,False
591,95,900000,101215,2009,5,False
592,90,900000,669534,2008,4,False
593,100,900000,111351,2011,1,False
594,101,900000,245027,2012,4,False
595,106,900000,467,2012,5,False
598,82,900000,396624,2020,1,False
599,100,930000,48041,2011,4,False
600,78,937000,4198,2014,12,False
601,86,944149,213008,2003,9,False
602,93,950000,12077,2004,4,False
603,103,950000,814666,2002,9,False
605,85,950000,187814,2007,8,False
606,90,950000,2021070,2005,11,False
607,118,950000,195250,2016,7,False
608,98,950000,965558,2019,12,False
609,92,980000,102212,2007,3,False
610,121,986000,36721,2019,2,False
611,90,989000,13944,2007,6,False
612,119,990000,5180116,2014,3,False
613,86,990000,51824,2015,12,False
614,88,999999,233824,1993,6,False
616,92,1000000,65000,1987,2,False
617,86,1000000,210200,1987,6,False
618,93,1000000,166635,1989,5,False
619,96,1000000,2038916,1992,5,False
620,86,1000000,265000,1993,7,False
622,125,1000000,2198984,1993,5,False
623,93,1000000,443169,1994,9,False
624,119,1000000,512245,1995,6,False
626,86,1000000,1287480,1996,10,False
627,113,1000000,3525125,1997,6,False
628,97,1000000,543708,1997,8,False
629,93,1000000,51266,1997,6,False
630,104,1000000,3395581,1998,8,False
631,94,1000000,125397,1997,4,False
632,88,1000000,45724,1998,7,False
633,84,1000000,2057193,1997,4,False
634,82,1000000,140254,1997,11,False
635,94,1000000,602302,1997,10,False
636,94,1000000,18529,1999,4,False
637,100,1000000,1009819,1998,1,False
638,112,1000000,307037,1998,8,False
639,105,1000000,17246,1999,2,False
640,100,1000000,292309,1999,5,False
641,119,1000000,1319592,1999,6,False
642,91,1000000,2276602,2001,2,False
643,82,1000000,13276,2000,9,False
644,88,1000000,779137,2000,4,False
645,110,1000000,1666028,2000,3,False
646,96,1000000,20400,2000,6,False
647,108,1000000,3520373,2001,2,False
649,92,1000000,14460,2004,5,False
650,170,1000000,596591,2000,9,False
651,90,1000000,24963,2000,4,False
652,89,1000000,466648,2001,6,False
654,119,1000000,852206,2001,3,False
655,97,1000000,33236,2001,11,False
656,92,1000000,1239183,2002,10,False
657,96,1000000,476551,2002,8,False
658,94,1000000,71743,2002,10,False
659,100,1000000,16377,2003,10,False
660,104,1000000,30158,2010,4,False
661,88,1000000,6028,2003,9,False
662,97,1000000,47401,2004,1,False
663,98,1000000,1303,2003,4,False
664,79,1000000,280351,2003,8,False
665,88,1000000,8780,2004,10,False
666,121,1000000,602107,2002,1,False
667,92,1000000,86872,2005,8,False
668,127,1000000,500296,2004,12,False
669,100,1000000,334940,2008,1,False
671,100,1000000,3255287,2004,1,False
672,92,1000000,1301272,2004,6,False
673,97,1000000,328161,2004,6,False
674,97,1000000,3700,2005,3,False
675,89,1000000,2617287,2003,11,False
678,80,1000000,11523,2004,7,False
679,94,1000000,2708087,2005,1,False
680,106,1000000,3399228,2005,9,False
681,85,1000000,368611,2004,12,False
682,88,1000000,3403957,2004,12,False
683,87,1000000,129664,2005,10,False
684,92,1000000,45964,2007,12,False
685,110,1000000,1843537,2005,7,False
686,108,1000000,11455,2006,8,False
687,99,1000000,225557,2004,3,False
688,105,1000000,67562,2007,3,False
689,91,1000000,464991,2006,3,False
690,111,1000000,48896,2006,10,False
691,78,1000000,1677967,2006,7,False
692,96,1000000,2811468,2006,11,False
693,88,1000000,454026,2006,11,False
694,81,1000000,14967,2006,11,False
695,134,1000000,23457,2006,1,False
696,88,1000000,884,2006,4,False
697,87,1000000,33723,2007,9,False
698,90,1000000,3126,2007,3,False
699,83,1000000,3244,2007,11,False
700,94,1000000,157401,2007,12,False
701,90,1000000,52940,2008,1,False
702,94,1000000,49484,2007,10,False
703,90,1000000,3742078,2007,10,False
704,86,1000000,34068,2008,3,False
705,102,1000000,32,2008,2,False
706,92,1000000,8321,2009,4,False
707,97,1000000,5457664,2008,3,False
708,76,1000000,65379,2007,11,False
709,128,1000000,204032,2019,6,False
710,104,1000000,6870,2014,10,False
711,84,1000000,1677,2008,5,False
712,97,1000000,92640,2019,9,False
713,110,1000000,2889,2008,2,False
714,134,1000000,5987,2019,7,False
715,110,1000000,274700,2019,10,False
716,112,1000000,814790,2007,4,False
718,121,1000000,6376664,2008,4,False
